'id';'name';'entity_code';'enabled'
1;A.B.N. Amro Bank N.V.;'005';0
2;Banco De Galicia Y Buenos Aires S.A.;'007';1
3;Banco De La Nación Argentina;'011';1
4;Banco De La Provincia De Buenos Aires;'014';1
5;ICBC Argentina S.A.;'015';1
6;Citibank N.A.;'016';1
7;Bbva Banco Francés S.A.;'017';1
8;The Bank Of Tokyo - Mitsubishi Ufj, Ltd.;'018';0
9;Banco De La Provincia De Cordoba S.A.;'020';1
10;Banco Supervielle S.A.;'027';1
11;Banco De La Ciudad De Buenos Aires;'029';1
12;Banco Patagonia S.A.;'034';1
13;Banco Hipotecario S.A.;'044';1
14;Banco De San Juan S.A.;'045';1
15;Banco Do Brasil S.A.;'046';0
16;Banco Del Tucuman S.A.;'060';0
17;Banco Municipal De Rosario;'065';1
18;Banco Santander Rio S.A.;'072';1
19;Banco Regional De Cuyo S.A.;'079';0
20;Banco Del Chubut S.A.;'083';1
21;Banco De Santa Cruz S.A.;'086';1
22;Banco De La Pampa Sociedad De Economía Mixta;'093';1
23;Banco De Corrientes S.A.;'094';1
24;Banco Provincia Del Neuquén S.A.;'097';1
25;Banco B. I. Creditanstalt S.A.;'147';1
26;HSBC Bank Argentina S.A.;'150';1
27;J P Morgan Chase Bank, National Association (Sucursal Buenos Aires);'165';1
28;Banco Credicoop Cooperativo Limitado;'191';1
29;Banco De Valores S.A.;'198';1
30;Banco Roela S.A.;'247';1
31;Banco Mariva S.A.;'254';1
32;Banco Itau Buen Ayre S.A.;'259';1
33;Bank Of America, National Association;'262';0
34;BNP Paribas;'266';1
35;Banco Provincia De Tierra Del Fuego;'268';1
36;Banco De La Republica Oriental Del Uruguay;'269';1
37;Banco Saenz S.A.;'277';1
38;Banco Meridian S.A.;'281';1
39;Banco Macro S.A.;'285';1
40;Banco Mercurio S.A.;'293';0
41;American Express Bank Ltd. S.A.;'295';0
42;Banco COMAFI S.A.;'299';1
43;Banco De Inversion Y Comercio Exterior S.A.;'300';1
44;Banco Piano S.A.;'301';1
45;Banco Finansur S.A.;'303';0
46;Banco Julio S.A.;'305';1
47;Banco Privado De Inversiones S.A.;'306';0
48;Nuevo Banco De La Rioja S.A.;'309';1
49;Banco Del Sol S.A.;'310';1
50;Nuevo Banco Del Chaco S.A.;'311';1
51;M.B.A. Banco De Inversiones S.A.;'312';1
52;Banco De Formosa S.A.;'315';1
53;Banco CMF S.A.;'319';1
54;Banco De Santiago Del Estero S.A.;'321';1
55;Nuevo Banco Industrial De Azul S.A.;'322';1
56;Deutsche Bank S.A.;'325';0
57;Nuevo Banco De Santa Fe S.A.;'330';1
58;Banco Cetelem Argentina S.A.;'331';1
59;Banco De Servicios Financieros S.A.;'332';1
60;Banco Cofidis S.A.;'335';0
61;Banco Bradesco Argentina S.A.;'336';0
62;Banco De Servicios Y Transacciones S.A.;'338';1
63;RCI Banque;'339';1
64;Bacs Banco De Credito Y Securitizacion S.A.;'340';1
65;Banco Masventas S.A.;'341';1
66;Nuevo Banco De Entre Rios S.A.;'386';1
67;Nuevo Banco Bisel S.A.;'388';0
68;Banco Columbia S.A.;'389';1
69;Banco Banco BICA S.A.;'426';1
70;Banco COINAG S.A.;'431';1
71;Banco De COMERCIO S.A.;'432';1
72;Ford Credit Compañia Financiera S.A.;'44059';0
73;Compañia Financiera Argentina S.A.;'44077';1
74;Volkwagen Financial Services CIA.FIN.S.A;'44088';1
75;CORDIAL Compañía Financiera S.A.;'44090';1
76;FCA Compañia Financiera S.A.;'44092';1
77;GPAT Compañia Financiera S.A.;'44093';1
78;Mercedes-Benz Compañía Financiera Argent;'44094';1
79;ROMBO Compañía Financiera S.A.;'44095';1
80;JOHN DEERE Credit Compañía Financiera S.;'44096';1
81;PSA Finance Argentina Compañía Financier;'44098';1
82;TOYOTA Compañía Financiera De Argentina;'44099';1
83;FINANDINO Compañia Financiera S.A.;'44100';0
84;MONTEMAR Compañia Financiera S.A.;'45056';1
85;MULTIFINANZAS Compañia Financiera S.A.;'45072';1
86;Caja De Credito "CUENCA" Cooperativa LIM;'65203';1
87;Efectivo SI;'408';0
88;BRUBANK S.A.U.;'143';1
89;BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES;'131';1
90;OPEN BANK ARGENTINA S.A.;'158';1
91;WILOBANK S.A.U.;'384';1
92;BANCO SUCREDITO REGIONAL S.A.U.;'435';1
93;BANCO DINO S.A.;'448';1
94;NARANJA DIGITAL COMPAÑÍA FINANCIERA S.A.;'45030';1
